,Date,id,Views,Like,Dislikes,Comment Count
0,2020-01-08,Qasm0iuoy7k,1713869,17900,5833,8810
0,2020-01-08,g693Rt_Y0Po,3134507,94583,3325,2512
0,2020-01-08,XHn5H9YdFWw,17597393,962427,28735,95720
0,2020-01-08,lfXAdSyV1qw,2177255,69731,2880,6333
0,2020-01-08,2wAekP9Z1Zs,704431,50627,1308,null
0,2020-01-08,K_IHoG1XfoI,2657774,112102,2934,12023
0,2020-01-08,DMi-5WpqQHk,7806037,185386,8647,10599
0,2020-01-08,EaMed9sUPVo,14331252,930272,102055,240
0,2020-01-08,VR3d-uh7HSw,1411995,91418,1306,5551
0,2020-01-08,kqXYctIElNg,968881,7582,1358,6754
0,2020-01-08,0u4HAV8PTDo,478899,3891,1956,2927
0,2020-01-08,YbWm4t7fVkI,1035759,9274,457,1110
0,2020-01-08,YgfLyjO8EMc,1060145,38582,815,2220
0,2020-01-08,35XGfnmTm8E,620064,11779,390,2947
0,2020-01-08,3-KxMaqF9tQ,2412804,79082,4712,7723
0,2020-01-08,Vz8X2bhyNnE,1838134,155527,1723,11796
0,2020-01-08,PUyKPpqY2yA,451966,2680,1683,5387
0,2020-01-08,XvPG-tEMlyU,1168916,46141,2219,3182
0,2020-01-08,D3EEDi9Cl5g,1327297,36766,1412,3437
0,2020-01-08,nCwVTCxm29c,862404,37234,766,2738
0,2020-01-08,NquYw-Eyb8s,524753,27429,554,1347
0,2020-01-08,sleZpyAg7EU,880990,6292,654,2511
0,2020-01-08,5Kc8eZ8vqB8,597456,15133,750,1120
0,2020-01-08,Rsjlbb2bvD8,1734436,46525,832,952
0,2020-01-08,sr2fBCzXo4g,2602694,80188,2889,6345
0,2020-01-08,Es3RnyhX9Y4,1216379,101526,757,5578
0,2020-01-08,FbKg0OaqjR4,2442555,30922,855,2441
0,2020-01-08,NWu-BE1XMoc,182632,1804,175,549
0,2020-01-08,fY-LA3YaZ_M,9191507,636654,5370,37709
0,2020-01-08,bccr1BwNI0Y,3359704,552587,2469,21898
0,2020-01-08,HSABKnKaOI0,1103158,42730,1664,2556
0,2020-01-08,vU5r5IpqOW4,405917,3595,141,415
0,2020-01-08,UR7ACXLJymI,406143,10237,431,3482
0,2020-01-08,63VIuPiX3CA,774631,24824,493,1856
0,2020-01-08,XEMwSdne6UE,20623445,311185,5951,22562
0,2020-01-08,UcZ3O1e0ejA,510722,13612,115,1816
0,2020-01-08,42hLntSxUeM,1484897,36756,1009,2622
0,2020-01-08,QZblQLhKcZQ,9107038,10176,1066,1981
0,2020-01-08,EBsSY24M4G8,1323597,99134,4086,7417
0,2020-01-08,PSO7Qld8aQM,1159920,13862,1245,5696
0,2020-01-08,1wBsKxwzPyo,2488464,160520,3073,8493
0,2020-01-08,sOrXp9jDJAA,905017,30901,727,2581
0,2020-01-08,1URzr7nKsy8,299536,15732,204,930
0,2020-01-08,n6G8BMkNw_w,926567,19989,598,3257
0,2020-01-08,cK-bnfnj7ds,896347,31344,595,1633
0,2020-01-08,N1vWbcoTmkk,1475827,130400,856,10398
0,2020-01-08,lQP4bk1uGXM,5561177,27464,1174,3707
0,2020-01-08,vVaw4wjLfZo,2192299,60576,3157,5824
0,2020-01-08,nkVkWlD1szY,664853,14662,1449,1645
0,2020-01-08,xXBWi2u5IqM,185897,1305,129,325
0,2020-01-08,XMv172RH9Is,755554,4482,301,752
0,2020-01-08,mUHvJFzsceM,209845,1390,78,583
0,2020-01-08,JGMLEsR-Hb4,676444,4851,405,688
0,2020-01-08,TAaTbf13ipg,803682,25682,2960,2015
0,2020-01-08,L_PvagQb_lA,557633,23011,2294,6754
0,2020-01-08,SDT9atA2LHk,673211,22986,1846,3060
0,2020-01-08,yM2QRNtkGDg,3177662,146099,1467,7137
0,2020-01-08,pYXFWzzmmo0,2197772,14839,1632,2399
0,2020-01-08,1sPOjQ0p1kE,548355,24983,612,622
0,2020-01-08,uJ6GUOj3C0o,507203,14195,723,548
0,2020-01-08,1rjqQ0-hsWk,650831,21504,3809,2325
0,2020-01-08,rdJZzBS7zQE,9202776,116672,7585,10119
0,2020-01-08,3dRev-1LxaQ,1292898,63200,1467,3572
0,2020-01-08,Q_F9CxSmGOM,6219834,136940,3067,7432
0,2020-01-08,3WySwhj2SwE,4537143,16442,4979,11164
0,2020-01-08,gUwiVRYbeZ0,910922,18585,390,1198
0,2020-01-08,MNF8lif0w0g,869997,34457,1876,null
0,2020-01-08,q5pQU_nWKXw,426444,11535,247,1799
0,2020-01-08,1sv23iMeiC4,526292,9236,458,2783
0,2020-01-08,wORAnKFvuDM,883282,10627,234,908
0,2020-01-08,U2y64doVfGc,533096,3409,1457,5610
0,2020-01-08,ITWjUldcViQ,787303,18970,441,6581
0,2020-01-08,15uxUMrozEk,3673263,287755,5590,68313
0,2020-01-08,-a1rgbr68MY,240791,6327,390,1130
0,2020-01-08,jhE5sGYx5yE,650859,18204,583,2693
0,2020-01-08,WLlpXtjISq4,525480,22196,469,1110
0,2020-01-08,u1cGTK4tupQ,6370314,53803,4187,0
0,2020-01-08,R5gEQdwOYq4,2932402,126160,1548,11734
0,2020-01-08,eBajf199Lt0,509952,14211,527,1297
0,2020-01-08,3I4i1Jaj53E,1335808,28952,837,2360
0,2020-01-08,HV7teK5NDlc,374230,2385,892,559
0,2020-01-08,A-XGNcvK9YY,2708468,80937,6739,6486
0,2020-01-08,2ks1U-8bojU,2361490,28553,1495,3535
0,2020-01-08,r5ywJFSJqF8,539444,6190,268,349
0,2020-01-08,5-QejUTDCWw,1512042,45101,1146,3139
0,2020-01-08,d2o6pgbUOE8,1008617,32845,790,2236
0,2020-01-08,9nsKvax_EJ8,4267348,68440,13198,11991
0,2020-01-08,C1SbC5T-_1E,571523,2752,315,1202
0,2020-01-08,7sJTieB9Gyo,1540934,88290,1901,17581
0,2020-01-08,DMXkNq93hBk,2322693,36647,7337,5016
0,2020-01-08,ItMpKIxXwlw,8479868,345306,4764,16590
0,2020-01-08,mcoeCX5OHFg,1679723,154574,1504,7833
0,2020-01-08,kx7P_ENnDPE,6723134,244569,11974,11663
0,2020-01-08,Yepxu1lfzzI,1687614,125590,1064,6205
0,2020-01-08,KQWGHE7NTUA,2758996,188884,2980,29870
0,2020-01-08,bwua920vNcU,4416779,155169,3066,3445
0,2020-01-08,pUL0ja--0Vk,1324631,35883,28113,8356
0,2020-01-08,b3UyMuQrq4U,2974554,41031,5881,4627
0,2020-01-08,ScndpbSXyfU,2511158,131201,1465,9102
0,2020-01-08,lF2sKFnuALw,2353303,48415,975,5202
0,2020-01-08,FSGL0T9EgFs,6539510,352150,3872,49409
0,2020-01-08,2B-dsQLS1yk,2885828,117032,6775,7757
0,2020-01-08,XnK5mG5u8Hg,2199542,167126,13121,11013
0,2020-01-08,Bru8AddADvo,3402025,32031,1907,8341
0,2020-01-08,IqGo94HtlwE,747150,28012,380,1883
0,2020-01-08,bfIi0gpyVFg,2427455,107575,1175,7643
0,2020-01-08,1dt1qZyXwIM,2048322,226634,786,8013
0,2020-01-08,4_FjNRFwig8,2177230,22709,9683,2446
0,2020-01-08,vkhvUBPGDVE,750601,38258,849,2854
0,2020-01-08,oLE-KBoIKA8,4691510,165315,3613,15301
0,2020-01-08,RQwX_UkJbDY,1377528,10947,1283,3229
0,2020-01-08,D3jxx8Yyw1c,1534628,77322,1616,4144
0,2020-01-08,S4U6pEDgvG4,431852,10996,343,1203
0,2020-01-08,14Qsc7WfqJI,1601475,8660,1909,2237
0,2020-01-08,_RHQZ-7EXMw,1187665,50487,1311,4357
0,2020-01-08,XYgdiE_av3c,853465,17344,667,2301
0,2020-01-08,mmcCsxKH3pk,1176036,60396,593,6808
0,2020-01-08,bF0Ldivzy8s,3757693,30924,4121,7294
0,2020-01-08,i69PC4PJdAQ,808957,45861,1265,2935
0,2020-01-08,al5aNl0z2lg,936711,49287,686,4174
0,2020-01-08,jlrCxIIFcEQ,681820,9300,643,4718
0,2020-01-08,kcuiI3cvEVI,5107169,85009,2525,2472
0,2020-01-08,agswEuxetM0,949389,42238,645,4006
0,2020-01-08,8yXklHzswM8,1157758,108786,758,4167
0,2020-01-08,oVgMCK1n3uM,254036,2269,261,1589
0,2020-01-08,UxRbwO3e6gM,1163079,7705,550,1404
0,2020-01-08,caPjWyxl-eg,320199,null,null,208
0,2020-01-08,_uUPgD_TqiM,655332,16705,501,1154
0,2020-01-08,n0wvDwSnzcw,1370969,75837,1529,7486
0,2020-01-08,FOJ7JAUK6EU,3434742,105001,1399,5475
0,2020-01-08,Z5lIn9mtGkA,5943402,92192,16362,4477
0,2020-01-08,-V1z0SgItU8,643284,22445,435,1217
0,2020-01-08,x2iY32pxQmE,529597,18264,2026,3621
0,2020-01-08,0jX_WmO7fCs,1843729,82414,1006,6537
