,Unnamed: 0,compound,neg,neu,pos,id,sentiment
0,0,0.0,0.0,1.0,0.0,--XQAK7NhUs,neutral
1,1,0.996,0.065,0.7759999999999999,0.16,-2RStr_KtP4,possitive
2,2,0.8057,0.0,0.9159999999999999,0.084,-4MagUTyp3Y,possitive
3,3,0.9998,0.024,0.7709999999999999,0.20600000000000002,-8KntVmm2r8,possitive
4,4,0.9943,0.009000000000000001,0.9540000000000001,0.037000000000000005,-ADzNjgctho,possitive
5,5,0.9996,0.019,0.86,0.122,-BLi-VxE--Y,possitive
6,6,0.9999,0.068,0.742,0.19,-CwoylxqVPA,possitive
7,7,0.9995,0.07,0.833,0.09699999999999999,-Ej5qLcmzv0,possitive
8,8,0.972,0.006999999999999999,0.965,0.027999999999999997,-Fpxa4tXO9A,possitive
9,9,0.971,0.015,0.941,0.045,-G5a15ZG4SU,possitive
10,10,-0.9838,0.064,0.902,0.034,-I6UKZqb5hg,negative
11,11,-0.9979,0.063,0.898,0.039,-IS_WCRq5BY,negative
12,12,-0.6734,0.005,0.995,0.0,-Iebjs-48-s,negative
13,13,-0.8035,0.024,0.9640000000000001,0.012,-KYYL3kMctc,negative
14,14,-0.9806,0.048,0.934,0.018000000000000002,-OKR-qL54tU,negative
15,15,0.7882,0.023,0.948,0.028999999999999998,-QYvsZCiiNs,possitive
16,16,0.0,0.0,1.0,0.0,-RErLff9BQ8,neutral
17,17,-0.9795,0.033,0.951,0.016,-Sn68BnMAJc,negative
18,18,0.0,0.0,1.0,0.0,-_BJRh0gW9c,neutral
19,19,-0.9995,0.09,0.8859999999999999,0.023,-db1Tu28nSM,negative
20,20,-0.9929,0.027000000000000003,0.963,0.01,-egZmn2kJzo,negative
21,21,0.9893,0.008,0.9520000000000001,0.04,-iCEdhWzqeI,possitive
22,22,0.0,0.0,1.0,0.0,-j6q2dwWFhU,neutral
23,23,0.9998,0.031,0.742,0.22699999999999998,-kyqE2Nq3pc,possitive
24,24,0.9938,0.019,0.925,0.055,-ozmpOa_lS0,possitive
25,25,0.9944,0.003,0.9640000000000001,0.033,-qzfbjHtOLM,possitive
26,26,0.7191,0.07,0.841,0.08900000000000001,-rCT2Wm3wWQ,possitive
27,27,0.9989,0.028999999999999998,0.9179999999999999,0.053,-w3iYPvbY2Y,possitive
28,28,0.9975,0.0,0.92,0.08,-xhZAoE9sLs,possitive
